fid,chirality,length,functional_group,doping,mean_ig,max_ig,std_ig,top10_ig
40,"13,2",10,NH2,none,0.020526442716189357,1.0,0.08919338904562538,0.18123884202596255
12,"7,5",10,none,none,0.6589314383669203,1.0,0.2757372305196445,0.9744706665058184
30,"13,1",10,none,1Ti_surface,0.021141318475958248,1.0,0.09350851960470717,0.18770494282702
33,"13,1",10,none,2Ti_substitution,0.06181554650863589,1.0,0.19618628160068505,0.5210173979656315
41,"13,2",10,none,1Ti_surface,0.01873547698150323,1.0,0.09156592527989502,0.16650136492610157
36,"13,2",15,none,none,0.043694829629525644,1.0,0.16756057663669693,0.3498384169920003
17,"7,5",10,C=O,none,0.09582820203615872,1.0,0.09729127094163616,0.24949064512294342
41,"13,2",10,none,1Ti_surface,0.01883892405099945,1.0,0.09162693222859139,0.1673411129525743
33,"13,1",10,none,2Ti_substitution,0.06022529049380497,1.0,0.1937552341705629,0.5056634982547565
40,"13,2",10,NH2,none,0.022598695960238103,1.0,0.09360934991546624,0.19970607663826756
8,"6,6",10,none,1Ti_surface,0.01393131045811488,1.0,0.0858244015415085,0.10744967552863388
17,"7,5",10,C=O,none,0.0841653393213294,1.0,0.09394655617871235,0.22842102906510595
37,"13,2",20,none,none,0.03262970304089685,1.0,0.15146523082139315,0.29145566155459596
38,"13,2",10,SO3H,none,0.07930855130863874,1.0,0.2152473410277773,0.6525359389768353
18,"7,5",10,NH2,none,0.010604048896660162,1.0,0.08836179622668702,0.09884300263089274
36,"13,2",15,none,none,0.042987243913088474,1.0,0.167969176299447,0.35123180679445803
34,"13,2",10,none,none,0.05816104658245537,1.0,0.198719502962176,0.4907470349738115
26,"13,1",20,none,none,0.03289478669309766,1.0,0.1521596261783611,0.2937928784517257
16,"7,5",10,SO3H,none,0.03200657362378652,1.0,0.09878010010389528,0.20144611466470785
16,"7,5",10,SO3H,none,0.030836540975935495,1.0,0.09771755263108295,0.19708074882924353
34,"13,2",10,none,none,0.05795563877297205,1.0,0.1987597007995447,0.4912041582829149
37,"13,2",20,none,none,0.03377444920958126,1.0,0.15084544683576373,0.2899744472864915
37,"13,2",20,none,none,0.032948263889654925,1.0,0.15109099252342964,0.2906073356613562
33,"13,1",10,none,2Ti_substitution,0.06206247065896616,1.0,0.20062825276491264,0.5298058663926706
43,"13,2",10,none,2Ti_surface,0.07927757509985145,1.0,0.197551116422128,0.6559106044876677
33,"13,1",10,none,2Ti_substitution,0.08035339972631234,1.0,0.21064032953537598,0.6469439362164711
39,"13,2",10,C=O,none,0.06034125080392753,1.0,0.19579029113029903,0.5146815953158308
36,"13,2",15,none,none,0.042921615463632865,1.0,0.16695116524367562,0.3485584144388878
40,"13,2",10,NH2,none,0.02262658732608231,1.0,0.09366524675096193,0.19995123780216306
35,"13,2",13,none,none,0.045909505025720616,1.0,0.1766424461963284,0.39373671770903745
43,"13,2",10,none,2Ti_surface,0.08261179248019553,1.0,0.2064601151690045,0.687053108104303
42,"13,2",10,none,1Ti_substitution,0.025667157328853787,1.0,0.09748741402157772,0.22689209718711134
20,"7,5",10,none,1Ti_substitution,0.04782750370883897,1.0,0.14817959937207925,0.4332634712669237
17,"7,5",10,C=O,none,0.041807493388529786,1.0,0.0928849685607389,0.18432026996900572
27,"13,1",10,SO3H,none,0.061828029515713964,1.0,0.18498048137315412,0.4887228360424171
14,"7,5",15,none,none,0.019504136868394514,1.0,0.10634101605862391,0.14984302783373782
18,"7,5",10,NH2,none,0.010932169961606302,1.0,0.08832342506485026,0.09880045037081707
15,"7,5",20,none,none,0.018647120687004932,1.0,0.09405976021447382,0.11972241865232615
29,"13,1",10,NH2,none,0.024880305210959595,1.0,0.09893681699323073,0.21418423510824625
33,"13,1",10,none,2Ti_substitution,0.07538616813725224,1.0,0.201361426748145,0.605705939473371
31,"13,1",10,none,1Ti_substitution,0.0913469054235623,1.0,0.2113750106141436,0.6871787339648009
14,"7,5",15,none,none,0.026447599744121846,1.0,0.10547880252355941,0.14909079474661463
28,"13,1",10,C=O,none,0.05832918405937402,1.0,0.19862780165520605,0.4963422814940304
14,"7,5",15,none,none,0.016973162908639552,1.0,0.1067461745529821,0.15094563377037595
