File ID,Temperature (K),G,Pressure (bar),theta
13,100,0.000874,3,0.730505
13,100,0.000874,4,0.783277
13,100,0.000874,5,0.818766
13,273,0.004696,1,0.450259
13,273,0.004696,2,0.620936
13,273,0.004696,3,0.710742
13,273,0.004696,4,0.766145
13,273,0.004696,5,0.803737
13,298.15,0.005209,1,0.449485
13,298.15,0.005209,2,0.6202
13,298.15,0.005209,3,0.710098
13,298.15,0.005209,4,0.765584
13,298.15,0.005209,5,0.803243
13,400,0.0072,1,0.447967
13,400,0.0072,2,0.618753
13,400,0.0072,3,0.708833
13,400,0.0072,4,0.764481
13,400,0.0072,5,0.802271
13,500,0.009041,1,0.447731
13,500,0.009041,2,0.618528
13,500,0.009041,3,0.708637
13,500,0.009041,4,0.76431
13,500,0.009041,5,0.80212
13,600,0.01079,1,0.448015
13,600,0.01079,2,0.618798
13,600,0.01079,3,0.708873
13,600,0.01079,4,0.764516
13,600,0.01079,5,0.802302
13,700,0.012463,1,0.448528
13,700,0.012463,2,0.619288
13,700,0.012463,3,0.709302
13,700,0.012463,4,0.76489
13,700,0.012463,5,0.802631
14,77,0.002279,1,0.414965
14,77,0.002279,2,0.586538
14,77,0.002279,3,0.680297
14,77,0.002279,4,0.739393
14,77,0.002279,5,0.780051
14,100,0.002744,1,0.421056
14,100,0.002744,2,0.592596
14,100,0.002744,3,0.685717
14,100,0.002744,4,0.744189
14,100,0.002744,5,0.784316
14,273,0.005904,1,0.437584
14,273,0.005904,2,0.608777
14,273,0.005904,3,0.700072
14,273,0.005904,4,0.75682
14,273,0.005904,5,0.79551
14,298.15,0.006318,1,0.438829
14,298.15,0.006318,2,0.60998
14,298.15,0.006318,3,0.701132
14,298.15,0.006318,4,0.757749
14,298.15,0.006318,5,0.796331
14,400,0.007899,1,0.442957
14,400,0.007899,2,0.613957
14,400,0.007899,3,0.70463
14,400,0.007899,4,0.76081
14,400,0.007899,5,0.799034
14,500,0.009332,1,0.446062
14,500,0.009332,2,0.616933
14,500,0.009332,3,0.70724
14,500,0.009332,4,0.763091
14,500,0.009332,5,0.801046
14,600,0.01067,1,0.448589
14,600,0.01067,2,0.619346
14,600,0.01067,3,0.709352
14,600,0.01067,4,0.764933
14,600,0.01067,5,0.802669
14,700,0.011928,1,0.450723
14,700,0.011928,2,0.621377
14,700,0.011928,3,0.711127
14,700,0.011928,4,0.766481
14,700,0.011928,5,0.804032
15,77,0.000211,1,0.492051
15,77,0.000211,2,0.659563
15,77,0.000211,3,0.74399
15,77,0.000211,4,0.794863
15,77,0.000211,5,0.82887
15,100,0.000726,1,0.478949
15,100,0.000726,2,0.647689
15,100,0.000726,3,0.733873
15,100,0.000726,4,0.786178
15,100,0.000726,5,0.821301
15,273,0.004308,1,0.454345
15,273,0.004308,2,0.624811
15,273,0.004308,3,0.714121
15,273,0.004308,4,0.769087
15,273,0.004308,5,0.806326
15,298.15,0.004786,1,0.453563
15,298.15,0.004786,2,0.62407
15,298.15,0.004786,3,0.713476
15,298.15,0.004786,4,0.768526
15,298.15,0.004786,5,0.805832
15,400,0.006634,1,0.452031
15,400,0.006634,2,0.622619
15,400,0.006634,3,0.71221
15,400,0.006634,4,0.767425
15,400,0.006634,5,0.804863
15,500,0.008335,1,0.451787
15,500,0.008335,2,0.622387
15,500,0.008335,3,0.712008
15,500,0.008335,4,0.767249
15,500,0.008335,5,0.804708
15,600,0.009944,1,0.452064
15,600,0.009944,2,0.622651
15,600,0.009944,3,0.712238
15,600,0.009944,4,0.767449
15,600,0.009944,5,0.804884
15,700,0.011477,1,0.452575
15,700,0.011477,2,0.623135
15,700,0.011477,3,0.71266
15,700,0.011477,4,0.767816
15,700,0.011477,5,0.805208
16,77,0.002076,1,0.422411
16,77,0.002076,2,0.593937
16,77,0.002076,3,0.686914
16,77,0.002076,4,0.745245
16,77,0.002076,5,0.785255
16,100,0.002641,1,0.423972
16,100,0.002641,2,0.595478
16,100,0.002641,3,0.688287
16,100,0.002641,4,0.746457
16,100,0.002641,5,0.786331
16,273,0.006792,1,0.428317
16,273,0.006792,2,0.599751
16,273,0.006792,3,0.692086
16,273,0.006792,4,0.749805
16,273,0.006792,5,0.789301
16,298.15,0.007364,1,0.428829
16,298.15,0.007364,2,0.600252
16,298.15,0.007364,3,0.692532
16,298.15,0.007364,4,0.750197
16,298.15,0.007364,5,0.789648
16,400,0.009605,1,0.430781
16,400,0.009605,2,0.602162
16,400,0.009605,3,0.694225
16,400,0.009605,4,0.751687
16,400,0.009605,5,0.790969
16,500,0.011701,1,0.432519
16,500,0.011701,2,0.603858
16,500,0.011701,3,0.695727
16,500,0.011701,4,0.753007
16,500,0.011701,5,0.792138
16,600,0.01371,1,0.434092
16,600,0.01371,2,0.60539
16,600,0.01371,3,0.697082
16,600,0.01371,4,0.754197
16,600,0.01371,5,0.79319
16,700,0.015644,1,0.435522
16,700,0.015644,2,0.606779
16,700,0.015644,3,0.698309
16,700,0.015644,4,0.755274
16,700,0.015644,5,0.794143
17,77,0.000413,1,0.484444
17,77,0.000413,2,0.652694
17,77,0.000413,3,0.738148
17,77,0.000413,4,0.789855
17,77,0.000413,5,0.824508
17,100,0.000982,1,0.471541
17,100,0.000982,2,0.64088
17,100,0.000982,3,0.72803
17,100,0.000982,4,0.781142
17,100,0.000982,5,0.816899
17,273,0.005147,1,0.445519
17,273,0.005147,2,0.616414
17,273,0.005147,3,0.706785
17,273,0.005147,4,0.762693
17,273,0.005147,5,0.800695
17,298.15,0.005719,1,0.444578
17,298.15,0.005719,2,0.615513
17,298.15,0.005719,3,0.705995
17,298.15,0.005719,4,0.762003
17,298.15,0.005719,5,0.800087
17,400,0.007951,1,0.442585
17,400,0.007951,2,0.6136
17,400,0.007951,3,0.704316
17,400,0.007951,4,0.760535
17,400,0.007951,5,0.798792
17,500,0.010034,1,0.44204
17,500,0.010034,2,0.613076
17,500,0.010034,3,0.703855
17,500,0.010034,4,0.760132
17,500,0.010034,5,0.798436
17,600,0.012027,1,0.442105
17,600,0.012027,2,0.613139
17,600,0.012027,3,0.703911
17,600,0.012027,4,0.760181
17,600,0.012027,5,0.798479
17,700,0.013945,1,0.442459
17,700,0.013945,2,0.613479
17,700,0.013945,3,0.70421
17,700,0.013945,4,0.760442
17,700,0.013945,5,0.79871
18,77,-1.172617,1,1
18,77,-1.172617,2,1
18,77,-1.172617,3,1
18,77,-1.172617,4,1
18,77,-1.172617,5,1
18,100,-1.172101,1,1
18,100,-1.172101,2,1
18,100,-1.172101,3,1
18,100,-1.172101,4,1
18,100,-1.172101,5,1
18,273,-1.168523,1,1
18,273,-1.168523,2,1
18,273,-1.168523,3,1
18,273,-1.168523,4,1
18,273,-1.168523,5,1
18,298.15,-1.168047,1,1
18,298.15,-1.168047,2,1
18,298.15,-1.168047,3,1
18,298.15,-1.168047,4,1
18,298.15,-1.168047,5,1
18,400,-1.166204,1,1
18,400,-1.166204,2,1
18,400,-1.166204,3,1
18,400,-1.166204,4,1
18,400,-1.166204,5,1
18,500,-1.164507,1,1
18,500,-1.164507,2,1
18,500,-1.164507,3,1
18,500,-1.164507,4,1
18,500,-1.164507,5,1
18,600,-1.162903,1,1
18,600,-1.162903,2,1
18,600,-1.162903,3,1
18,600,-1.162903,4,1
18,600,-1.162903,5,1
18,700,-1.161374,1,1
18,700,-1.161374,2,1
18,700,-1.161374,3,1
18,700,-1.161374,4,1
18,700,-1.161374,5,1
19,77,1.20E-05,1,0.499548
19,77,1.20E-05,2,0.666265
19,77,1.20E-05,3,0.749661
19,77,1.20E-05,4,0.79971
19,77,1.20E-05,5,0.833082
19,100,0.000714,1,0.479297
19,100,0.000714,2,0.648006
19,100,0.000714,3,0.734144
19,100,0.000714,4,0.786413
19,100,0.000714,5,0.821505
19,273,0.006314,1,0.433299
19,273,0.006314,2,0.604618
19,273,0.006314,3,0.696399
19,273,0.006314,4,0.753598
19,273,0.006314,5,0.79266
19,298.15,0.007125,1,0.431109
19,298.15,0.007125,2,0.602482
19,298.15,0.007125,3,0.694509
19,298.15,0.007125,4,0.751936
19,298.15,0.007125,5,0.791189
19,400,0.010351,1,0.425482
19,400,0.010351,2,0.596966
19,400,0.010351,3,0.689612
19,400,0.010351,4,0.747625
19,400,0.010351,5,0.787368
19,500,0.013436,1,0.422664
19,500,0.013436,2,0.594186
19,500,0.013436,3,0.687136
19,500,0.013436,4,0.745441
19,500,0.013436,5,0.785429
19,600,0.016443,1,0.421155
19,600,0.016443,2,0.592694
19,600,0.016443,3,0.685805
19,600,0.016443,4,0.744266
19,600,0.016443,5,0.784385
19,700,0.019384,1,0.420345
19,700,0.019384,2,0.591891
19,700,0.019384,3,0.685088
19,700,0.019384,4,0.743633
19,700,0.019384,5,0.783822
20,77,-0.061979,1,0.999912
20,77,-0.061979,2,0.999956
20,77,-0.061979,3,0.999971
20,77,-0.061979,4,0.999978
20,77,-0.061979,5,0.999982
20,100,-0.061339,1,0.999191
20,100,-0.061339,2,0.999595
20,100,-0.061339,3,0.99973
20,100,-0.061339,4,0.999798
20,100,-0.061339,5,0.999838
20,273,-0.056594,1,0.917265
20,273,-0.056594,2,0.956847
20,273,-0.056594,3,0.970812
20,273,-0.056594,4,0.977948
20,273,-0.056594,5,0.98228
20,298.15,-0.055936,1,0.898184
20,298.15,-0.055936,2,0.946362
20,298.15,-0.055936,3,0.96359
20,298.15,-0.055936,4,0.972442
